t,line
4100.5938,MEAS ms=114374 seq=3577 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4100.5938,MEAS ms=114382 seq=3578 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4100.5938,MEAS ms=114391 seq=3579 src=1 c9=1149 c10=1499 c11=1012 c12=1500 step=4
4100.5938,MEAS ms=114400 seq=3580 src=1 c9=1149 c10=1499 c11=1012 c12=1500 step=4
4100.6932,MEAS ms=114409 seq=3581 src=1 c9=1149 c10=1499 c11=1012 c12=1500 step=4
4100.6933,MEAS ms=114419 seq=3582 src=1 c9=1149 c10=1499 c11=1012 c12=1500 step=4
4100.6933,MEAS ms=114464 seq=3583 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4100.8733,MEAS ms=114509 seq=3584 src=1 c9=1149 c10=1500 c11=1012 c12=1499 step=4
4100.8734,MEAS ms=114554 seq=3585 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4100.8734,MEAS ms=114599 seq=3586 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4100.8734,MEAS ms=114644 seq=3587 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4101.0082,MEAS ms=114689 seq=3588 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4101.0082,MEAS ms=114734 seq=3589 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4101.0082,MEAS ms=114779 seq=3590 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4101.0901,MEAS ms=114824 seq=3591 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4101.0902,MEAS ms=114869 seq=3592 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4101.0902,MEAS ms=114889 seq=3593 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4101.0902,MEAS ms=114897 seq=3594 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4101.1163,MEAS ms=114906 seq=3595 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4101.1164,MEAS ms=114915 seq=3596 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4101.1164,MEAS ms=114924 seq=3597 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4101.1533,MEAS ms=114932 seq=3598 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4101.1533,MEAS ms=114941 seq=3599 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4101.1533,MEAS ms=114950 seq=3600 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4101.1533,MEAS ms=114959 seq=3601 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4101.2882,MEAS ms=114969 seq=3602 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4101.2882,MEAS ms=115014 seq=3603 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4101.2882,MEAS ms=115059 seq=3604 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4101.4683,MEAS ms=115104 seq=3605 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4101.4683,MEAS ms=115149 seq=3606 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
4101.4683,MEAS ms=115194 seq=3607 src=1 c9=1149 c10=1500 c11=1012 c12=1500 step=4
